"DistanceKm","SciencePotential","SafetyPotential","SciencePoints","SafetyPoints","TotalPoints"
"1.11","0.999032468360863","0.068608","49.9516234180432","3.4304","53.3820234180432"
"1.12","0.998848663297269","0.072232120713306","49.9424331648635","3.6116060356653","53.5540392005288"
"1.13","0.998648913540251","0.0759357805212621","49.9324456770126","3.7967890260631","53.7292347030757"
"1.14","0.998433228669731","0.079717925925926","49.9216614334866","3.9858962962963","53.9075577297829"
"1.15","0.998201619028437","0.0835775034293553","49.9100809514219","4.17887517146777","54.0889561228896"
"1.16","0.997954095721077","0.0875134595336076","49.8977047860539","4.37567297668038","54.2733777627342"
"1.17","0.997690670613451","0.0915247407407407","49.8845335306725","4.57623703703704","54.4607705677096"
"1.18","0.997411356331503","0.0956102935528121","49.8705678165752","4.7805146776406","54.6510824942158"
"1.19","0.997116166260315","0.0997690644718793","49.8558083130157","4.98845322359396","54.8442615366097"
"1.2","0.996805114543033","0.104","49.8402557271516","5.2","55.0402557271516"
"1.21","0.996478216079742","0.108302046639232","49.8239108039871","5.41510233196159","55.2390131359487"
"1.22","0.996135486526273","0.112674150891632","49.8067743263137","5.63370754458162","55.4404818708953"
"1.23","0.995776942292958","0.117115259259259","49.7888471146479","5.85576296296296","55.6446100776109"
"1.24","0.995402600543315","0.12162431824417","49.7701300271657","6.0812159122085","55.8513459393743"
"1.25","0.995012479192682","0.126200274348422","49.7506239596341","6.31001371742112","56.0606376770552"
"1.26","0.994606596906788","0.130842074074074","49.7303298453394","6.54210370370371","56.2724335490431"
"1.27","0.994184973100263","0.135548663923182","49.7092486550132","6.77743319615912","56.4866818511723"
"1.28","0.993747627935091","0.140318990397805","49.6873813967546","7.01594951989026","56.7033309166448"
"1.29","0.993294582319004","0.145152","49.6647291159502","7.2576","56.9223291159502"
"1.3","0.992825857903813","0.150046639231824","49.6412928951907","7.50233196159122","57.1436248567819"
"1.31","0.992341477083689","0.155001854595336","49.6170738541845","7.75009272976681","57.3671665839513"
"1.32","0.991841462993374","0.160016592592593","49.5920731496687","8.00082962962963","57.5929027792983"
"1.33","0.991325839506343","0.165089799725652","49.5662919753171","8.25448998628258","57.8207819615997"
"1.34","0.990794631232902","0.170220422496571","49.5397315616451","8.51102112482853","58.0507526864737"
"1.35","0.990247863518235","0.175407407407407","49.5123931759117","8.77037037037037","58.2827635462821"
"1.36","0.98968556244038","0.18064970096022","49.484278122019","9.03248504801098","58.51676317003"
"1.37","0.989107754808166","0.185946249657065","49.4553877404083","9.29731248285323","58.7527002232615"
"1.38","0.988514468159074","0.191296","49.4257234079537","9.5648","58.9905234079537"
"1.39","0.987905730757057","0.196697898491084","49.3952865378528","9.83489492455419","59.230181462407"
"1.4","0.987281571590291","0.202150891632373","49.3640785795145","10.1075445816187","59.4716231611332"
"1.41","0.986642020368875","0.207653925925926","49.3321010184437","10.3826962962963","59.71479731474"
"1.42","0.985987107522477","0.2132059478738","49.2993553761239","10.66029739369","59.9596527698139"
"1.43","0.985316864197919","0.218805903978052","49.265843209896","10.9402951989026","60.2061384087986"
"1.44","0.984631322256707","0.224452740740741","49.2315661128353","11.222637037037","60.4542031498724"
"1.45","0.983930514272508","0.230145404663923","49.1965257136254","11.5072702331962","60.7037959468216"
"1.46","0.983214473528573","0.235882842249657","49.1607236764286","11.7941421124829","60.9548657889115"
"1.47","0.982483234015097","0.241664","49.1241617007549","12.0832","61.2073617007549"
"1.48","0.981736830426536","0.24748782441701","49.0868415213268","12.3743912208505","61.4612327421773"
"1.49","0.98097529815886","0.253353262002743","49.048764907943","12.6676631001372","61.7164280080802"
"1.5","0.980198673306755","0.259259259259259","49.0099336653378","12.962962962963","61.9728966283007"
"1.51","0.979406992660776","0.265204762688615","48.9703496330388","13.2602381344307","62.2305877674695"
"1.52","0.978600293704438","0.271188718792867","48.9300146852219","13.5594359396433","62.4894506248652"
"1.53","0.97777861461126","0.277210074074074","48.888930730563","13.8605037037037","62.7494344342667"
"1.54","0.976941994241756","0.283267775034294","48.8470997120878","14.1633887517147","63.0104884638025"
"1.55","0.97609047214037","0.289360768175583","48.8045236070185","14.4680384087791","63.2725620157977"
"1.56","0.975224088532363","0.295488","48.7612044266182","14.7744","63.5356044266182"
"1.57","0.974342884320645","0.301648417009602","48.7171442160322","15.0824208504801","63.7995650665124"
"1.58","0.973446901082556","0.307840965706447","48.6723450541278","15.3920482853224","64.0643933394502"
"1.59","0.9725361810666","0.314064592592593","48.62680905333","15.7032296296296","64.3300386829596"
"1.6","0.971610767189123","0.320318244170096","48.5805383594561","16.0159122085048","64.5964505679609"
"1.61","0.970670703030941","0.326600866941015","48.5335351515471","16.3300433470508","64.8635784985978"
"1.62","0.969716032833926","0.332911407407407","48.4858016416963","16.6455703703704","65.1313720120667"
"1.63","0.96874680149753","0.339248812071331","48.4373400748765","16.9624406035665","65.399780678443"
"1.64","0.967763054575268","0.345612027434842","48.3881527287634","17.2806013717421","65.6687541005055"
"1.65","0.966764838271153","0.352","48.3382419135577","17.6","65.9382419135577"
